,US,AU,UK,Germany,France,Japan,Switzerland,India
1/3/76,1,1,1,1,1,1,1,1
1/4/76,0.989,1.02,0.937,1.004,0.991,1.002,0.981,1
1/5/76,1.032,1.028,0.926,1.01,1.001,0.981,1.012,1.01
1/6/76,1.026,1.126,0.896,1.048,0.981,0.935,1.013,1.022
1/7/76,1.025,1.12,0.856,1.015,0.974,0.93,1.013,0.954
1/8/76,1.05,1.036,0.808,1.032,0.988,0.874,0.996,0.958
1/9/76,1.03,0.983,0.73,1.031,0.913,0.824,0.956,0.915
1/10/76,1.025,0.941,0.78,0.998,0.962,0.794,0.967,0.86
1/11/76,1.079,0.976,0.925,0.993,0.969,0.89,1.037,0.755
1/12/76,1.026,0.997,1.008,1.129,0.976,0.874,1.053,0.785
1/1/77,1.005,0.957,1.034,1.077,0.951,0.838,1.042,0.854
1/2/77,0.993,1.007,1.061,1.108,0.98,0.75,1.047,0.957
1/3/77,0.995,0.994,1.099,1.075,1.05,0.735,1.052,1.003
1/4/77,0.976,1.04,1.127,1.092,1.027,0.772,1.011,1.048
1/5/77,1.023,1.027,1.159,1.084,0.999,0.821,1.023,1.053
1/6/77,1.01,0.964,1.13,1.081,1.011,0.795,1.021,1.147
1/7/77,0.991,0.931,1.262,1.065,1.032,0.86,1.056,1.136
1/8/77,0.991,0.931,1.365,1.124,1.048,0.913,1.096,1.135
1/9/77,0.949,0.98,1.322,1.122,1.077,0.942,1.086,1.216
1/10/77,0.974,0.953,1.264,1.083,1.084,0.905,1.089,1.32
1/11/77,0.979,1.026,1.284,1.063,1.077,0.876,1.082,1.331
1/12/77,0.921,0.98,1.218,1.047,1.091,0.83,1.125,1.247
1/1/78,0.9,0.928,1.163,1.096,1.095,0.853,1.084,1.254
1/2/78,0.921,0.975,1.245,1.124,1.092,1.037,1.076,1.251
1/3/78,1.008,1.045,1.26,1.182,1.06,1.095,1.03,1.182
1/4/78,1.012,1.1,1.315,1.178,1.081,1.157,1.043,1.181
1/5/78,0.995,1.079,1.273,1.179,1.101,1.116,1.058,1.208
1/6/78,1.055,1.145,1.352,1.186,1.141,1.248,1.05,1.276
1/7/78,1.082,1.219,1.386,1.214,1.161,1.215,1.052,1.265
1/8/78,1.076,1.266,1.38,1.195,1.194,1.388,1.015,1.286
1/9/78,0.984,1.179,1.331,1.213,1.172,1.32,0.989,1.381
1/10/78,1.003,1.167,1.365,1.218,1.155,1.296,1.023,1.401
1/11/78,1.021,1.224,1.348,1.237,1.156,1.328,1.057,1.363
1/12/78,1.066,1.29,1.367,1.273,1.163,1.324,1.169,1.303
1/1/79,1.028,1.341,1.464,1.31,1.131,1.245,1.15,1.336
1/2/79,1.086,1.369,1.652,1.266,1.117,1.314,1.17,1.322
1/3/79,1.085,1.343,1.74,1.264,1.117,1.4,1.186,1.329
1/4/79,1.063,1.379,1.61,1.293,1.064,1.324,1.139,1.497
1/5/79,1.102,1.341,1.541,1.3,1.037,1.477,1.141,1.587
1/6/79,1.113,1.371,1.477,1.294,1.078,1.474,1.149,1.582
1/7/79,1.167,1.541,1.534,1.285,1.093,1.58,1.176,1.493
1/8/79,1.164,1.644,1.601,1.306,1.095,1.757,1.192,1.441
1/9/79,1.088,1.668,1.517,1.349,1.04,1.603,1.16,1.448
1/10/79,1.131,1.628,1.5,1.323,1.05,1.656,1.151,1.463
1/11/79,1.148,1.804,1.472,1.328,1.04,1.626,1.154,1.479
1/12/79,1.216,2.177,1.603,1.354,1.043,1.765,1.18,1.327
1/1/80,1.202,2.253,1.688,1.377,1.069,1.783,1.147,1.336
1/2/80,1.094,1.87,1.537,1.383,0.991,1.614,1.053,1.38
1/3/80,1.14,1.942,1.588,1.341,1.023,1.678,1.089,1.47
1/4/80,1.193,2.163,1.558,1.383,1.051,1.768,1.093,1.421
1/5/80,1.23,2.292,1.73,1.375,1.075,1.759,1.128,1.399
1/6/80,1.31,2.304,1.792,1.387,1.099,1.703,1.157,1.413
1/7/80,1.318,2.408,1.8,1.373,1.076,1.753,1.161,1.476
1/8/80,1.349,2.538,1.851,1.407,1.078,1.764,1.157,1.565
1/9/80,1.381,2.703,1.973,1.441,1.053,1.901,1.171,1.571
1/10/80,1.524,2.644,1.997,1.481,1.068,1.891,1.165,1.605
1/11/80,1.469,2.587,1.884,1.464,1.046,1.775,1.175,1.635
1/12/80,1.413,2.338,1.876,1.47,1.021,1.691,1.136,1.696
1/1/81,1.441,2.266,1.957,1.513,1.021,1.759,1.164,1.635
1/2/81,1.487,2.48,1.952,1.512,1.055,1.812,1.158,1.581
1/3/81,1.458,2.488,2.113,1.618,1.105,1.718,1.135,1.64
1/4/81,1.452,2.493,1.996,1.764,1.071,1.385,1.091,1.669
1/5/81,1.447,2.43,2.035,1.787,1.142,1.322,1.12,1.784
1/6/81,1.455,2.182,2.049,1.868,1.146,1.455,1.121,1.799
1/7/81,1.37,2.175,2.158,1.901,1.123,1.533,1.09,1.757
1/8/81,1.304,1.983,1.805,1.894,1.059,1.518,1.011,1.733
1/9/81,1.367,1.872,1.871,1.732,1.055,1.492,1.016,1.813
1/10/81,1.425,2.027,2.095,1.732,1.093,1.572,1.065,1.691
1/11/81,1.385,2.038,2.07,1.738,1.063,1.563,1.068,1.569
1/12/81,1.367,1.872,2.188,1.808,1.083,1.683,1.048,1.677
1/1/82,1.295,1.701,2.097,1.844,1.103,1.82,1.045,1.714
1/2/82,1.286,1.604,2.177,1.758,1.129,1.742,1.059,1.752
1/3/82,1.34,1.786,2.206,1.659,1.128,1.851,1.067,1.808
1/4/82,1.294,1.781,2.289,1.71,1.112,1.84,1.055,1.8
1/5/82,1.275,1.671,2.204,1.704,1.083,1.684,1.011,1.827
1/6/82,1.251,1.657,2.281,1.668,1.087,1.648,1.011,1.898
1/7/82,1.403,1.739,2.351,1.619,1.077,1.737,1.038,1.895
1/8/82,1.419,1.807,2.49,1.648,1.134,1.701,1.048,1.885
1/9/82,1.575,1.83,2.563,1.633,1.124,1.735,1.117,1.927
1/10/82,1.635,1.766,2.583,1.692,1.149,1.75,1.16,2.061
1/11/82,1.662,1.79,2.617,1.821,1.231,1.729,1.212,2.163
1/12/82,1.727,1.996,2.73,1.887,1.222,1.846,1.238,2.23
1/1/83,1.761,1.87,2.755,1.841,1.313,1.904,1.284,2.188
1/2/83,1.821,1.936,2.855,1.855,1.478,2.075,1.292,2.229
1/3/83,1.962,2.239,3.097,1.935,1.572,2.187,1.345,2.284
1/4/83,1.93,2.351,3.097,1.964,1.486,2.276,1.308,2.324
1/5/83,2.003,2.301,3.265,1.979,1.568,2.255,1.338,2.452
1/6/83,1.936,2.573,3.169,2.041,1.608,2.332,1.384,2.412
1/7/83,1.974,2.674,3.199,2.077,1.513,2.457,1.352,2.539
1/8/83,1.997,2.731,3.188,2.094,1.552,2.537,1.357,2.499
1/9/83,1.973,2.64,3.136,2.154,1.676,2.535,1.41,2.574
1/10/83,2.014,2.883,3.327,2.126,1.704,2.701,1.475,2.52
1/11/83,2.001,3.004,3.375,2.132,1.736,2.818,1.564,2.451
1/12/83,1.977,2.932,3.617,2.289,1.794,3.068,1.553,2.527
1/1/84,1.893,2.779,3.543,2.425,1.712,2.913,1.521,2.576
1/2/84,1.926,2.882,3.799,2.402,1.714,2.96,1.528,2.723
1/3/84,1.944,2.908,3.903,2.72,1.733,3.263,1.582,2.717
1/4/84,1.833,2.493,3.523,2.693,1.661,3.164,1.514,2.888
1/5/84,1.87,2.556,3.621,2.409,1.698,3.133,1.506,2.944
1/6/84,1.854,2.654,3.53,2.472,1.587,2.907,1.493,2.89
1/7/84,2.053,2.872,3.887,2.367,1.682,3.216,1.566,2.783
1/8/84,2.054,2.888,4.019,2.541,1.801,3.349,1.586,2.679
1/9/84,2.063,2.936,4.093,2.571,1.843,3.395,1.602,2.842
1/10/84,2.041,2.926,4.23,2.696,1.858,3.387,1.608,2.934
1/11/84,2.09,2.824,4.44,2.728,1.891,3.393,1.64,2.976
1/12/84,2.256,3.037,4.658,2.873,1.982,3.602,1.747,3.081
1/1/85,2.28,3.108,4.597,2.901,2.016,3.697,1.748,3.168
1/2/85,2.284,3.271,4.689,3.043,2.052,3.838,1.748,3.303
1/3/85,2.277,3.504,4.758,3.118,2.139,3.947,1.811,3.36
1/4/85,2.416,3.509,4.884,3.012,2.355,4.263,1.879,3.395
1/5/85,2.449,3.472,4.595,3.118,2.511,4.068,1.992,3.386
1/6/85,2.439,3.774,4.743,3.211,2.39,3.83,2.029,3.473
1/7/85,2.415,3.771,5.094,3.068,2.611,3.995,2.137,3.379
1/8/85,2.336,4.017,4.888,3.149,2.783,3.769,2.041,3.27
1/9/85,2.44,4.174,5.275,3.176,3.135,3.996,2.276,3.411
1/10/85,2.608,4.014,5.526,3.192,3.058,4.491,2.456,3.428
1/11/85,2.74,4.088,5.46,3.099,3.476,4.841,2.692,3.493
1/12/85,2.754,4.395,5.578,3.259,3.505,5.107,2.555,3.694
1/1/86,2.96,4.235,6.04,3.219,3.428,5.615,2.498,3.651
1/2/86,3.123,4.593,6.545,3.358,3.747,6.51,2.698,3.675
1/3/86,3.077,4.904,6.574,4.029,3.944,7.073,2.709,3.88
1/4/86,3.226,5.089,6.351,3.941,3.554,6.512,2.688,4.221
1/5/86,3.265,4.826,6.585,4.067,3.499,6.533,2.64,4.352
1/6/86,3.088,4.584,6.195,4.212,3.306,7.045,2.432,4.183
1/7/86,3.314,4.802,6.595,4.473,3.784,7.646,2.69,4.196
1/8/86,3.029,5.059,6.209,4.895,3.547,7.033,2.583,4.158
1/9/86,3.198,5.592,6.528,5.013,3.601,7.14,2.72,4.13
1/10/86,3.271,5.593,6.619,4.605,3.757,7.363,2.813,4.23
1/11/86,3.185,5.97,6.788,4.856,3.711,7.361,2.821,4.147
1/12/86,3.606,6.07,7.396,5.141,3.264,7.749,2.727,4.259
1/1/87,3.732,6.658,8.086,5.748,3.08,7.883,2.617,4.264
1/2/87,3.83,7.062,8.179,5.821,3.187,8.259,2.659,4.576
1/3/87,3.792,7.338,8.431,6.159,3.183,8.272,2.582,4.95
1/4/87,3.811,7.482,9.083,6.86,3.125,7.927,2.549,5.186
1/5/87,4.005,7.554,9.477,6.998,3.337,7.458,2.691,5.096
1/6/87,4.192,8.663,9.801,6.61,3.531,7.733,2.918,5.533
1/7/87,4.355,9.287,9.361,6.507,3.582,7.977,2.914,5.827
1/8/87,4.259,9.689,9.89,6.932,3.494,7.557,3.035,6.081
1/9/87,3.352,5.683,7.325,6.889,2.7,5.905,2.329,5.791
1/10/87,3.065,5.922,6.584,6.019,2.308,5.514,2.069,5.904
1/11/87,3.278,6.002,7.224,5.981,2.273,5.277,2.005,5.339
1/12/87,3.415,5.741,7.605,5.562,2.118,4.729,2.018,4.065
1/1/88,3.555,5.712,7.541,6.163,2.473,5.779,2.18,4.133
1/2/88,3.433,6.496,7.431,6.66,2.428,5.343,2.107,4.355
1/3/88,3.461,6.741,7.66,6.925,2.41,5.871,2.134,4.303
1/4/88,3.488,7.317,7.596,7.034,2.456,6.397,2.134,4.451
1/5/88,3.647,7.194,7.926,6.725,2.596,6.839,2.262,4.399
1/6/88,3.632,7.498,7.983,6.909,2.688,6.829,2.287,4.389
1/7/88,3.507,7.318,7.585,7.172,2.684,6.681,2.277,4.546
1/8/88,3.653,7.263,7.922,6.823,2.882,7.343,2.361,4.567
1/9/88,3.762,7.42,8.117,7.013,3.007,7.747,2.451,4.503
1/10/88,3.7,6.811,7.894,7.064,2.93,7.741,2.432,4.362
1/11/88,3.757,6.924,7.921,7.502,3.078,8.235,2.505,4.529
1/12/88,4.04,7.255,9.086,7.728,3.092,8.719,2.577,4.467
1/1/89,3.915,6.87,8.899,8.043,3.01,8.317,2.563,4.347
1/2/89,3.999,6.834,9.257,7.997,3.073,8.67,2.715,4.637
1/3/89,4.213,7.13,9.408,8.071,3.209,8.985,2.82,4.999
1/4/89,4.372,7.347,9.411,8.083,3.28,9.246,2.716,5.069
1/5/89,4.352,7.375,9.571,8.208,3.452,9.255,3.024,5.048
1/6/89,4.747,8.011,10.281,7.858,3.639,9.819,3.282,5.218
1/7/89,4.815,8.593,10.622,8.477,3.771,10.184,3.439,5.245
1/8/89,4.801,8.462,10.267,8.328,3.763,10.362,3.309,5.482
1/9/89,4.688,8.035,9.522,8.553,3.52,9.712,3.121,5.738
1/10/89,4.781,7.846,10.117,8.514,3.773,10.085,3.253,5.792
1/11/89,4.885,8.179,10.82,8.95,4.293,10.699,3.242,5.348
1/12/89,4.564,8.334,10.455,9.005,4.402,10.053,3.138,5.359
1/1/90,4.628,7.845,10.134,8.493,4.341,9.814,3.132,5.718
1/2/90,4.733,7.718,10.114,7.847,4.767,10.417,3.049,5.741
1/3/90,4.633,7.226,9.488,6.707,4.39,10.888,2.909,5.566
1/4/90,5.057,7.697,10.625,6.828,4.472,11.232,3.317,5.448
1/5/90,5.035,7.792,10.821,7.484,4.582,10.835,3.351,5.307
1/6/90,5.023,8.182,10.613,7.098,4.705,10.438,3.256,5.402
1/7/90,4.56,7.844,9.874,6.752,3.965,9.013,2.804,5.745
1/8/90,4.344,7.283,9.09,5.978,3.244,7.996,2.46,5.708
1/9/90,4.327,6.959,9.464,4.804,3.555,8.619,2.589,5.29
1/10/90,4.607,7.066,9.986,5.607,3.582,8.497,2.522,5.008
1/11/90,4.731,6.901,9.982,5.069,3.448,8.137,2.522,5.034
1/12/90,4.953,7.2,10.18,5.408,3.508,8.36,2.634,5.029
1/1/91,5.291,7.705,11.266,5.389,3.843,9.394,2.929,5.205
1/2/91,5.416,7.931,11.694,6.1,3.711,9.68,3.059,5.065
1/3/91,5.433,8.496,11.811,6.065,3.925,9.57,3.105,5.462
1/4/91,5.655,8.451,11.888,6.048,4.165,9.946,3.251,5.858
1/5/91,5.392,8.464,11.479,6.076,3.96,9.421,3.111,6.01
1/6/91,5.64,8.883,12.353,5.619,3.94,9.501,3.229,5.96
1/7/91,5.773,8.74,12.684,5.786,3.993,10.073,3.232,5.964
1/8/91,5.67,8.904,12.646,5.436,3.886,10.208,3.105,6.047
1/9/91,5.764,9.629,12.422,5.734,3.827,10.152,3.146,6.213
1/10/91,5.527,9.062,11.671,5.906,3.78,9.613,3.039,6.265
1/11/91,6.154,9.369,11.962,5.435,3.784,9.77,3.112,6.165
1/12/91,6.047,9.219,12.38,5.383,4.042,10.35,3.299,5.981
1/1/92,6.112,9.247,12.437,5.146,4.206,10.935,3.443,5.751
1/2/92,5.994,9.121,11.88,4.862,4.134,10.818,3.421,6.007
1/3/92,6.165,9.598,13.044,4.464,4.141,11.391,3.513,6.062
1/4/92,6.186,9.738,13.362,4.194,4.276,11.479,3.625,5.946
1/5/92,6.087,9.54,12.368,4.335,4.131,10.755,3.53,6.074
1/6/92,6.337,9.358,11.778,3.882,3.779,10.017,3.435,6.428
1/7/92,6.18,8.972,11.366,3.871,3.588,9.72,3.34,6.191
1/8/92,6.243,8.617,12.469,4.405,3.467,9.983,3.543,5.795
1/9/92,6.276,8.296,13.034,4.185,3.523,10.031,3.596,5.555
1/10/92,6.48,8.513,13.685,4.103,3.629,10.232,3.621,5.806
1/11/92,6.547,9.211,14.203,4.251,3.615,10.673,3.928,6.116
1/12/92,6.6,9.049,14.112,4.189,3.714,10.255,3.944,6.407
1/1/93,6.682,9.52,14.456,4.17,3.991,11.438,4.002,6.559
1/2/93,6.815,9.755,14.642,4.114,4.021,11.72,4.177,6.698
1/3/93,6.661,9.789,14.448,4.567,3.9,11.282,4.1,7.008
